Station_code,longitude,latitude
100001,117.334837,39.157658
100002,117.187336,39.120355
100003,117.149365,39.11653
100004,117.172772,39.160261
100005,117.173656,39.240641
100006,117.223159,39.166274
100007,117.308574,38.992667
100008,117.139463,39.185432
100009,117.109285,39.14623
100010,117.362628,39.132116
100011,117.090954,39.1457
100012,117.149444,39.137806
100013,117.184695,39.056723
100014,117.245852,39.130318
100015,117.248489,39.083497
100016,117.184757,39.046782
100017,117.243057,39.06296
100018,117.70306,39.018183
100019,117.257615,39.144
100020,117.208788,39.088534
100021,117.278558,39.203029
100022,117.163651,39.252431
100023,117.218471,39.127225
100024,117.295916,39.150497
100025,117.305429,39.116534
100026,117.408398,39.012409
100027,117.737288,39.040571
100028,117.261312,39.06797
100029,117.328449,39.080739
100030,117.357421,39.079404
100031,117.375295,39.065608
100032,117.358671,39.070557
100033,117.350139,39.073339
100034,117.245877,39.04359
100035,117.24257,39.103422
100036,117.174737,39.130318
100037,117.731698,39.029989
100038,117.289429,39.11014
100039,117.23602,39.23816
100040,117.191876,39.171286
100041,117.260182,39.077205
100042,117.158413,39.155769
100043,117.360797,39.043101
100044,117.161743,39.137653
100045,117.181228,39.137127
100046,117.390747,39.021933
100047,117.30979,39.154093
100048,117.177534,39.122349
100049,117.277766,39.081442
100050,117.322181,38.988951
100051,117.333949,39.111105
100052,117.360346,38.981306
100053,117.204654,39.126896
100054,117.098616,39.071883
100055,117.161912,39.170889
100056,117.344655,39.047712
100057,117.148149,39.092757
100058,117.192484,39.218578
100059,117.285842,39.084306
100060,117.261895,39.06616
100061,117.12876,39.087165
100062,117.607373,39.040524
100063,117.234644,39.179628
100064,117.200889,39.139008
100065,117.205862,39.063799
100066,117.224,39.087236
100067,117.128158,39.191974
100068,117.234015,39.040749
100069,117.119664,39.142668
100070,117.191892,39.132158
100071,117.284396,39.019468
100072,117.244216,39.142967
100073,117.289639,39.011383
100074,117.287682,39.102815
100075,117.341326,38.982843
100076,117.207758,39.151064
100077,117.241396,39.116533
100078,117.207555,39.131898
100079,117.24237,39.171703
100080,117.265336,39.199695
100081,117.456102,39.048049
100082,117.283592,39.1387
100083,117.217504,39.091252
100084,117.2,39.209751
100085,117.19417,39.062765
100086,117.317171,39.054449
100087,117.17201,39.068057
100088,117.170661,39.036434
100089,117.284779,39.072173
100090,117.227289,39.115539
100091,117.115904,39.207953
100092,117.287063,39.094459
100093,117.269031,39.045332
100094,117.252721,39.062545
100095,117.217726,39.044312
100096,117.217558,39.052331
100097,117.225609,39.06881
100098,117.25478,39.04482
100099,117.233547,39.16867
100100,117.15864,39.079964
100101,117.291016,39.206352
100102,117.223877,39.095998
100103,117.318352,39.206528
100104,117.23048,39.063636
100105,117.384206,39.028739
100106,117.149756,39.268036
100107,117.227681,39.22756
100108,117.207826,39.166655
100109,117.171661,39.146568
100110,117.29315,39.09518
100111,117.149704,39.14651
100112,117.181972,39.231034
100113,117.153675,39.178342
100114,117.12186,39.200203
100115,117.224043,39.081197
100116,117.288921,39.117388
100117,117.223951,39.121377
100118,117.277584,39.030276
100119,117.292172,39.057188
100120,117.233607,39.141425
100121,117.227463,39.183388
100122,117.062101,39.057038
100123,117.190431,39.136876
100124,117.171996,39.137364
100125,117.216059,39.095181
100126,117.172458,39.074732
100127,117.503891,39.039772
100128,117.256622,39.12228
100129,117.679373,39.025523
100130,117.723405,39.019896
100131,117.6548717,39.02873039
100132,117.276919,39.063938
100133,117.177759,39.095775
100134,117.198548,39.08533
100135,117.209923,39.138123
100136,117.215197,39.205894
100137,117.183744,39.168377
100138,117.149438,39.109224
100139,117.207298,39.179865
100140,117.232283,39.089216
100141,117.184469,39.078996
100142,117.349312,39.108731
100143,117.112148,39.072444
100144,117.267386,39.119474
100145,117.139072,39.092134
100146,117.287628,39.124755
100147,117.173133,39.079509
100148,117.259748,39.062922
100149,117.166791,39.156971
100150,117.186144,39.099781
100151,117.286522,39.131684
100152,117.373829,38.980612
100153,117.135291,39.137769
100154,117.215513,39.114859
100155,117.257642,39.239186
100156,117.403344,39.064397
100157,117.222882,39.105249
100158,117.188132,39.112217
100159,117.24419,39.154124
100160,117.202945,39.168802
100161,117.336003,39.085873
100162,117.370481,39.101571
100163,117.078532,39.071878
100164,117.29883,39.083204
100165,117.271798,39.073853
100166,117.340678,39.076714
100167,117.21859,39.115284
100168,117.254154,39.190924
100169,117.069582,39.068315
100170,117.174953,39.054725
100171,117.149457,39.126407
100172,117.282944,39.096056
100173,117.149468,39.086153
100174,117.197685,39.118628
100175,117.2186,39.197556
100176,117.205425,39.203038
100177,117.149451,39.103273
100178,117.21752,39.063806
100179,117.221257,39.136531
100180,117.27984,39.147214
100181,117.318812,39.114015
100182,117.245788,39.164793
100183,117.162563,39.046497
100184,117.307795,39.092098
100185,117.21482,39.191928
100186,117.312579,39.08073
100187,117.219132,39.187116
100188,117.233925,39.111012
100189,117.264325,39.100884
100190,117.205536,39.161829
100191,117.163602,39.092723
100192,117.217321,39.060141
